comment|Check help text as student.
openURL|$url
verifyText|From the CTools Team
click|Login
verifyText|You are connecting to a U-M website that requires authentication.
enterText|login|qastud
enterText|password|Maugaityptodita6
click|doLogin
verifyText|From the CTools Team
verifyText|Welcome to your personal workspace
click|$site
verifyText|Selenium User
verifyText|Site Information Display
verifyText|the Regents of The University of Michigan
click|Drop Box
verifyText|Selenium User
verifyText|Drop Box
verifyText|User, Selenium
click|Help for Drop Box
waitForPopup|30
verifyText|Drop Box
verifyText|Search Help
verifyText|The Drop Box tool allows instructors and students to share documents in a private folder for each student. 
closePopUp|
click|Logout
verifyText|You are about to log out
click|Log Out
verifyText|From the CTools Team
verifyText|Welcome
