application|forums
comment|Read a message then reply to it as instructor.
openURL|$url
enterText|eid|seleniumInstructor
enterText|pw|seleniumInstructor
click|Login
verifyText|From the CTools Team
verifyText|Welcome to your personal workspace
click|$site
verifyText|selenium user
verifyText|Site Information Display
verifyText|the Regents of The University of Michigan
click|Forums
verifyText|selenium instructor
verifyText|Forums
click|test topic title
verifyText|test topic title ( 2 messages - 1 unread )
verifyText|test topic short description.
click|test thread
verifyText|test thread
click| Re: test thread
verifyText|Re: test thread
verifyText|this is a test response from the student
click|FakeAssignment.doc
verifyFile|FakeAssignment.doc
click|Reply to Message
verifyText|Reply to Forum Thread
verifyText|Replying to: Re: test thread selenium user (seleniumstudent)
fckEnter|Message|this is a test response from the instructor.
click|Add attachments
verifyText|Add Attachment
verifyText|Select an existing item from Resources to attach OR add a new item to a folder to be attached.
uploadFile|FakeAssignment.doc
click|Continue
verifyText|Reply to Forum Thread
click|Post Message
verifyText|this is the body of a test thread.
verifyText|this is a test response from the student.
verifyText|this is a test response from the instructor.
click|Logout
verifyText|You are about to log out
click|Log Out
verifyText|From the CTools Team
verifyText|Welcome
