comment|Create 2 folders as instructor one for each group of the site. The groups are named 'Group 1' and 'Group 2'
openURL|$url
verifyText|From the CTools Team
click|Login
verifyText|You are connecting to a U-M website that requires authentication.
enterText|login|qainst
enterText|password|sswelvalpanklidS$
click|doLogin
verifyText|From the CTools Team
verifyText|Welcome to your personal workspace
click|$site
verifyText|Site Information Display
verifyText|the Regents of The University of Michigan
click|Resources
verifyText|Selenium Instructor
verifyText|Resources
verifyText|Permissions
verifyText|Access
click|Add
click|Create Folders
verifyText|Create Folders
verifyText|Create as many folders as you like! If you change your mind about needing one of your folders,
verifyText|Location:
enterText|Folder Name|folder group 1
click|Add details for this item
verifyText|Availability and Access
verifyText|Description
selectRadio|access_mode_groups_0
verifyText|Group 1
selectCheckbox|Group 1
click|Create Folders Now
verifyText|Selenium Instructor
verifyText|folder group 1
verifyText|Select group(s)
click|Add
click|Create Folders
verifyText|Create Folders
verifyText|Create as many folders as you like! If you change your mind about needing one of your folders,
verifyText|Location:
enterText|Folder Name|folder group 2
click|Add details for this item
verifyText|Availability and Access
verifyText|Description
selectRadio|access_mode_groups_0
verifyText|Group 2
selectCheckbox|Group 2
click|Create Folders Now
verifyText|Selenium Instructor
verifyText|folder group 2
click|Logout
verifyText|You are about to log out
click|Log Out
verifyText|From the CTools Team
verifyText|Welcome
