comment|Check help text as instructor.
openURL|$url
verifyText|From the CTools Team
click|Login
verifyText|You are connecting to a U-M website that requires authentication.
enterText|login|qainst
enterText|password|sswelvalpanklidS$
click|doLogin
verifyText|Worksite Setup
verifyText|From the CTools Team
click|$site
verifyText|Site Information Display
click|Web Content
click|Help for Web Content
waitForPopup|30
verifyText|The Web Content feature allows site owners
verifyText|Search Help
closePopUp|
click|Logout
verifyText|You are about to log out
click|Log Out
verifyText|From the CTools Team
verifyText|Welcome
