comment|Verify Permissions to access draft Announcements as Teaching Assistant
openURL|$url
verifyText|Welcome to Sakai QA
verifyText|New Account
enterText|user id:|qastudb
enterText|password:|hopicenucinseC%
click|Login
verifyText|Test Announcement No Attachment No Email
verifyText|My Workspace: Message Of The Day
verifyText|Welcome to your personal workspace.
verifyText|Testing 101 001 Fall 2010
click|$site
verifyText|Announcements
verifyText|Testing 101 001 Fall 2010: Site Information Display
verifyText|Testing 101 001 Fall 2010: Recent Announcements
click|Announcements
verifyText|Testing 101 001 Fall 2010: Announcements
verifyText|View
verifyText|viewing announcements from the last 365 days
verifyText|Draft Announcement
click|Draft Announcement
verifyText|Announcement
verifyText|This is a Draft Announcement
click|Logout
verifyText|Welcome to Sakai QA
verifyText|Message Of The Day
