comment|Modify details of a folder as instructor.
openURL|$url
verifyText|Welcome to Sakai QA
verifyText|New Account
enterText|user id:|qainst
enterText|password:|sswelvalpanklidS$
click|Login
verifyText|My Workspace: Message Of The Day
verifyText|Welcome to your personal workspace.
verifyText|Testing 101 001 Fall 2010
click|$site
verifyText|Resources
verifyText|Testing 101 001 Fall 2010: Site Information Display
verifyText|Testing 101 001 Fall 2010: Recent Announcements
click|Resources
verifyText|Testing 101 001 Fall 2010: Resources
verifyText|Permissions
verifyText|Access
click|test folder
verifyText|Testing 101 001 Fall 2010 Resources / test folder
verifyText|Remove
click|Actions
click|Edit Details
verifyText|Edit Details
verifyText|Change the resource's details and then choose 'Update' at the bottom. Required items marked with
enterText|Name|test folder edit
click|Update
verifyText|Testing 101 001 Fall 2010 Resources / test folder edit
verifyText|test folder edit
click|Logout
verifyText|Welcome to Sakai QA
verifyText|Message Of The Day
