comment|Modify Permissions as instructor.
openURL|$url
verifyText|Welcome to Sakai QA
verifyText|New Account
enterText|user id:|qainst
enterText|password:|sswelvalpanklidS$
click|Login
verifyText|My Workspace: Message Of The Day
verifyText|Welcome to your personal workspace.
verifyText|Testing 101 001 Fall 2010
click|$site
verifyText|Resources
verifyText|Testing 101 001 Fall 2010: Site Information Display
verifyText|Testing 101 001 Fall 2010: Recent Announcements
click|Resources
verifyText|Testing 101 001 Fall 2010: Resources
verifyText|Permissions
verifyText|Access
click|Permissions
verifyText|Permissions
verifyText|Set permissions for resources in worksite
verifyText|Teaching Assistant
selectCheckbox|Teaching Assistantcontent.new
selectCheckbox|Teaching Assistantcontent.revise.own
selectCheckbox|Teaching Assistantcontent.delete.own
click|Save
click|Logout
verifyText|Welcome to Sakai QA
verifyText|Message Of The Day
