comment|Delete all resources as an instructor
openURL|$url
verifyText|Welcome to Sakai QA
verifyText|New Account
enterText|user id:|qainst
enterText|password:|sswelvalpanklidS$
click|Login
verifyText|My Workspace: Message Of The Day
verifyText|Welcome to your personal workspace.
verifyText|Testing 101 001 Fall 2010
click|$site
verifyText|Resources
verifyText|Testing 101 001 Fall 2010: Site Information Display
verifyText|Testing 101 001 Fall 2010: Recent Announcements
click|Resources
verifyText|Testing 101 001 Fall 2010: Resources
verifyText|Permissions
verifyText|Access
selectCheckbox|selectall
click|Remove
verifyText|Are you sure you want to remove the following item(s)?
verifyText|Remove confirmation... 
verifyText|FakeAssignment.doc
verifyText|test.pdf
click|Remove
verifyTextNotPresent|FakeAssignment.doc
verifyTextNotPresent|test.pdf
click|Logout
verifyText|Welcome to Sakai QA
verifyText|Message Of The Day
